id,cache-references,cache-misses,cycles,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses,dTLB-loads,dTLB-load-misses,label,attack_type,load_level
ff_libm.so.6_full-load_20,3604251249,580067650,133275524201,233838102262,31326122804,151362647,44118203601,2879372923,785860268,18935397,44166767147,5839901,1,ff,full-load
ff_libm.so.6_full-load_21,3903532603,573118221,134558676199,238214371145,31623923022,158405290,44809001174,2801427199,1093975099,20156070,44955663589,5396335,1,ff,full-load
ff_libm.so.6_full-load_22,4277832158,557872928,132089303105,228440906602,30826815635,144654625,43354081304,2615909318,1007302243,21050281,43547863717,7729974,1,ff,full-load
ff_libm.so.6_full-load_23,4069853082,544702933,136236999798,238204851475,32084902441,153608924,44762173247,2825025292,1082888436,17208500,44587893489,5809793,1,ff,full-load
ff_libm.so.6_full-load_24,3616563063,588535577,138371272800,241589235064,32577877034,158488556,45470364094,3050793424,1450390131,24178227,45040774606,9009972,1,ff,full-load
ff_libsystemd.so.0_no-load_0,97846349,2006092,22467198940,44063617385,8526300342,9762589,11259026641,17975324,6973559,252473,11264545765,1735286,1,ff,no-load
ff_libsystemd.so.0_no-load_1,97356966,1860698,22446285360,43765740222,8469328428,10733372,11190316873,31907064,7035284,226279,11188419754,1700225,1,ff,no-load
ff_libsystemd.so.0_no-load_2,93800502,2253369,22498677133,43944200819,8508181657,10041926,11234168290,25731877,7100848,310182,11231936616,1756427,1,ff,no-load
ff_libsystemd.so.0_no-load_3,96688769,1881894,22421630522,44032329522,8522990689,9202808,11255256619,16081423,7021428,234485,11259800007,1720273,1,ff,no-load
ff_libsystemd.so.0_no-load_4,95030684,1868993,22442542418,43974088852,8515741922,10739508,11252415806,16151655,7083170,230937,11243026173,1728831,1,ff,no-load
ff_libsystemd.so.0_no-load_5,96997098,2135862,22457424630,43986748443,8519885449,12462900,11241066544,17078136,6969773,222433,11225873097,1718546,1,ff,no-load
ff_libsystemd.so.0_no-load_6,95654031,2238147,22479527174,44096191379,8534901340,9871349,11268160965,17117992,7302286,306624,11274746330,1762886,1,ff,no-load
ff_libsystemd.so.0_no-load_7,96288938,1798475,22420614825,44080844264,8532198093,9418481,11270706163,15982336,6938126,243356,11275750899,1722810,1,ff,no-load
ff_libsystemd.so.0_no-load_8,99404848,2067165,22449962451,43363636770,8479986134,14608673,11236391135,16509202,7249400,223705,11229946858,1719814,1,ff,no-load
ff_libsystemd.so.0_no-load_9,95909295,1734456,22421892461,43255774415,8370785441,18966282,11058140846,17219341,7299694,222394,11058324951,1680235,1,ff,no-load
ff_libsystemd.so.0_no-load_10,94159464,1848936,22428399901,43291586339,8378566724,19001272,11066272261,23592238,7376082,218220,11057394009,1691108,1,ff,no-load
ff_libsystemd.so.0_no-load_11,98970768,1791669,22445372666,43406126162,8400821193,18996883,11099306995,18000317,7207924,220976,11098884296,1692926,1,ff,no-load
ff_libsystemd.so.0_no-load_12,100305026,1814549,22452151452,43498544954,8418269561,19228447,11119076734,18842077,7625238,219479,11113837416,1702029,1,ff,no-load
ff_libsystemd.so.0_no-load_13,97263441,1811548,22396065251,43303814501,8383010075,19230118,11077813318,18843102,7393042,222390,11077122933,1687041,1,ff,no-load
ff_libsystemd.so.0_no-load_14,97847345,2149916,22469270226,43396310526,8427142757,19520463,11143789082,19392868,7665307,289540,11129957073,1705926,1,ff,no-load
ff_libsystemd.so.0_no-load_15,95424023,1796477,22424417589,44000320106,8517580615,10756265,11246258349,16058562,6819307,214521,11251301049,1694492,1,ff,no-load
