id,cache-references,cache-misses,cycles,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses,dTLB-loads,dTLB-load-misses,label,attack_type,load_level
benign_full-load_242,4340652756,691219878,118873648005,220142569957,26529724332,173398900,38609164574,2999975888,961292274,26789339,39328900199,12229163,0,benign,full-load
benign_full-load_243,4374795697,657433491,117187021646,218983000755,26860658158,145406935,38502706593,3195679517,886721140,25198090,37662633339,9936229,0,benign,full-load
benign_full-load_244,4192469487,663422421,120111973044,220426508219,26884660347,175619933,39129940050,3041925851,857624272,21925835,39694258578,9872106,0,benign,full-load
benign_full-load_245,4618098995,622094719,116419103928,215424107248,26378938343,159970140,37172921717,3183230697,1258780578,20080981,36696444926,6721800,0,benign,full-load
benign_full-load_246,4660621114,682386510,119124735028,223471275899,27029139397,171035453,39244961095,3170105583,1027429931,24994901,39088226597,10305590,0,benign,full-load
benign_full-load_247,3803239588,662622857,118032041744,222655618434,27295872039,165627708,39527874480,3361091527,1074897457,25645863,38282007644,11372510,0,benign,full-load
benign_full-load_248,4249334066,706148608,125265193706,227106893889,28376322295,169657476,40645300391,3222278035,1047353976,27708999,39840643655,14516402,0,benign,full-load
benign_full-load_249,5155746571,655091238,118281552379,218982487624,26630560632,163659303,38284439620,2929276835,1278299111,26223417,38365896335,9673333,0,benign,full-load
benign_full-load_250,4526491301,655318080,118806820282,218113496810,26597167594,180223052,38511015445,2894175557,1088210952,20240688,39176573577,9110792,0,benign,full-load
benign_full-load_251,4473263374,728136671,120360506559,223081493643,27044287963,168669432,38857764785,3108278292,1027438813,31849880,39306180613,13401152,0,benign,full-load
benign_full-load_252,4192352682,661486601,117169780525,220705025762,26737838125,163114286,38877565879,3247494069,929465803,21766678,38482634737,9414666,0,benign,full-load
benign_full-load_253,4952527689,691217878,118420817147,217182028543,25885642530,191078173,37685683940,2691797552,727541382,27003924,39990376204,11903792,0,benign,full-load
benign_full-load_254,3689105742,674342116,119081022211,224193065290,27323614963,166801963,39468608923,3398807704,810829559,27532965,38782637819,11813662,0,benign,full-load
benign_full-load_255,4586281448,705979853,120462956232,221064394766,27166363863,169717344,38861590329,2938617684,1033532352,25216757,39634654936,13256675,0,benign,full-load
benign_full-load_256,4602061506,684520417,118876782945,218482821730,26343321212,174406362,38191532523,2866620361,903592632,24174984,39663849722,12038824,0,benign,full-load
benign_full-load_257,4661773617,688830358,119129118445,222412160514,26943091353,172754141,39208958332,3083393971,1263507107,28091057,39352338642,11556116,0,benign,full-load
benign_full-load_258,3926731003,720228756,118110091858,221771262582,27212443458,146215992,39012924316,3396926931,1151305714,29017626,37759306653,15671648,0,benign,full-load
benign_full-load_259,4057895144,648029213,115563526740,216057966838,26379583380,161748987,37428535934,3301083103,795982860,23646270,37297127395,7975088,0,benign,full-load
benign_full-load_260,4757474813,640798449,116345257568,216671263871,26374172965,166815068,38011254496,3067542228,1217655639,21318377,37519330008,8031041,0,benign,full-load
benign_full-load_261,4682523937,682423175,119398170610,222721068749,27074785605,171253209,39263952739,3118340188,1318702105,26834787,38848828466,10504454,0,benign,full-load
benign_full-load_262,4801314425,659790550,117353933893,219428171721,26689704022,163987904,38425863694,2971827958,1211375002,24300896,38308052226,9263928,0,benign,full-load
benign_full-load_263,4594180941,739983479,121414431976,220905671569,27058502997,161528014,38717981962,2930080548,1064547173,29744317,38998784876,15022073,0,benign,full-load
benign_full-load_264,3920508885,687160148,118231043312,221671437286,26964028064,161709480,38824862532,3302161633,1114204810,28790635,38198542364,11690431,0,benign,full-load
